Timestamp,Capacity,Policy,Total_Mobility,Days_Breached,Total_Deaths
2026-05-02 22:01:37,500,RCPO_AI,8.0,24,42
2026-05-02 22:01:39,500,India_Historical,5.43,0,18
2026-05-02 22:01:41,500,Always_Open,8.0,24,42
2026-05-02 22:01:44,500,Always_Lockdown,3.2,0,11
2026-05-02 22:01:48,500,Always_Partial,5.6,18,42
2026-05-02 22:01:50,500,Manual_Reactive,7.39,16,32
2026-05-02 22:01:54,100,RCPO_AI,5.97,86,42
2026-05-02 22:01:56,100,India_Historical,5.43,85,48
2026-05-02 22:01:58,100,Always_Open,8.0,59,54
2026-05-02 22:02:00,100,Always_Lockdown,3.2,87,29
2026-05-02 22:02:02,100,Always_Partial,5.6,117,79
2026-05-02 22:02:03,100,Manual_Reactive,5.82,84,35
2026-05-02 22:02:05,50,RCPO_AI,5.49,95,32
2026-05-02 22:02:06,50,India_Historical,5.43,96,49
2026-05-02 22:02:07,50,Always_Open,8.0,72,55
2026-05-02 22:02:08,50,Always_Lockdown,3.2,106,31
2026-05-02 22:02:11,50,Always_Partial,5.6,133,81
2026-05-02 22:02:12,50,Manual_Reactive,5.65,96,33
2026-05-02 22:02:14,9,RCPO_AI,5.38,107,21
2026-05-02 22:02:15,9,India_Historical,5.43,107,49
2026-05-02 22:02:16,9,Always_Open,8.0,97,56
2026-05-02 22:02:17,9,Always_Lockdown,3.2,136,31
2026-05-02 22:02:19,9,Always_Partial,5.6,164,81
2026-05-02 22:02:21,9,Manual_Reactive,5.39,107,25
