Capacity,Episode,Econ_Reward,Days_Failed,Deaths,Lambda
50,1,181.4575016081333,120.0,95,0.10399999999999975
50,2,197.55277835130693,101.0,88,0.18500000000000089
50,3,197.60625437498084,110.0,102,0.2750000000000032
50,4,197.52525931596753,106.0,101,0.3610000000000055
50,5,197.5943575263023,113.0,86,0.4540000000000078
50,6,197.3160956859589,95.0,91,0.52900000000001
50,7,197.64363714456562,109.0,94,0.6180000000000123
50,8,197.58077313899997,111.0,90,0.7090000000000146
50,9,198.02396987676616,106.0,95,0.7950000000000169
50,10,197.6576669573783,120.0,93,0.8950000000000192
50,11,197.67019748687744,104.0,97,0.9790000000000215
50,12,197.6879947662354,107.0,108,1.0660000000000152
50,13,197.6304068088531,108.0,97,1.1540000000000055
50,14,197.53686927556993,102.0,92,1.2359999999999964
50,15,197.90416557788853,115.0,86,1.330999999999986
50,16,197.7829092025756,114.0,101,1.4249999999999756
50,17,197.60747331380844,123.0,108,1.5279999999999643
50,18,197.71849623918536,113.0,89,1.620999999999954
50,19,197.8513314962387,114.0,86,1.7149999999999437
50,20,197.3149885058403,110.0,84,1.8049999999999338
50,21,197.51285459995276,121.0,80,1.9059999999999226
50,22,197.75728005170825,119.0,95,2.0049999999999035
50,23,197.58389970064158,0.0,0,1.9849999999998948
50,24,197.60286245346072,117.0,83,2.0819999999998937
50,25,197.67472527027132,110.0,90,2.1719999999998882
50,26,197.88937644958497,108.0,82,2.259999999999882
50,27,197.48508014678953,119.0,108,2.3589999999998796
50,28,197.02190134525293,118.0,86,2.456999999999877
50,29,197.220126068592,0.0,0,2.4369999999998346
50,30,197.61630922555926,118.0,83,2.534999999999832
50,31,197.60169941186905,117.0,88,2.6319999999998287
50,32,197.38191927671437,122.0,93,2.7339999999998272
50,33,182.02050226926795,114.0,101,2.827999999999823
50,34,149.00743571594356,114.0,82,2.921999999999819
50,35,110.64320648887688,172.0,71,3.073999999999834
50,36,111.49102012752591,156.0,78,3.209999999999844
50,37,97.72726556211731,176.0,76,3.3659999999998607
50,38,96.89684043934118,176.0,79,3.5219999999998772
50,39,104.65605640536553,161.0,64,3.662999999999889
50,40,122.31766518880644,134.0,69,3.7769999999998913
50,41,112.04089908660421,148.0,91,3.9049999999998986
50,42,116.11965815466854,151.0,57,4.0359999999998895
50,43,108.91976928361717,167.0,82,4.1829999999998435
50,44,98.88297784869803,174.0,74,4.336999999999794
50,45,108.2651498427792,159.0,63,4.475999999999752
50,46,99.86553629515707,176.0,72,4.631999999999701
50,47,93.88310447579731,155.0,86,4.766999999999662
50,48,102.55535912963117,165.0,61,4.911999999999617
50,49,111.16419066559789,155.0,57,5.0
50,50,97.05400459302977,174.0,68,5.0
50,51,112.86602246898721,145.0,63,5.0
50,52,197.57680228948593,0.0,0,4.980000000000047
50,53,103.99846264547115,160.0,74,5.0
50,54,102.88356694248523,160.0,68,5.0
50,55,102.4227031859251,166.0,63,5.0
50,56,99.79369845109198,164.0,53,5.0
50,57,111.57023035769845,147.0,76,5.0
50,58,129.12619405756746,118.0,28,5.0
50,59,102.71315578694943,161.0,64,5.0
